方法名称1,方法名称2,方法参数,返回值类型,链接
DataFrameGroupBy.,idxmax,"(axis=None, skipna=True, numeric_only=False)",Series,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.core.groupby.DataFrameGroupBy.idxmax.html
Index.,is_floating,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Index.is_floating.html
Index.,is_categorical,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Index.is_categorical.html
DataFrame.,xs,"(key, axis=0, level=None, drop_level=True)",Series or DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DataFrame.xs.html
DataFrame.,xs,"(key, axis=0, level=None, drop_level=True)",Series or DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DataFrame.xs.html
DataFrame.,to_feather,"(path, **kwargs)",,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DataFrame.to_feather.html
pandas.,read_parquet,"(path, engine='auto', columns=None, storage_options=None, use_nullable_dtypes=_NoDefault.no_default, dtype_backend=_NoDefault.no_default, **kwargs)",DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.read_parquet.html
Series.,at,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.at.html
Series.,at,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.at.html
Timestamp.,weekofyear,,int,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Timestamp.weekofyear.html
DataFrameGroupBy.,idxmin,"(axis=None, skipna=True, numeric_only=False)",Series,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.core.groupby.DataFrameGroupBy.idxmin.html
DataFrameGroupBy.,idxmin,"(axis=None, skipna=True, numeric_only=False)",Series,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.core.groupby.DataFrameGroupBy.idxmin.html
pandas.,read_parquet,"(path, engine='auto', columns=None, storage_options=None, use_nullable_dtypes=_NoDefault.no_default, dtype_backend=_NoDefault.no_default, **kwargs)",DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.read_parquet.html
Timestamp.,weekofyear,,int,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Timestamp.weekofyear.html
pandas.tseries.offsets.,BDay,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.BDay.html
Index.,is_integer,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Index.is_integer.html
DataFrame.,get,"(key, default=None)",same type as items contained in object,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DataFrame.get.html
Index.,is_floating,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Index.is_floating.html
DataFrame.,get,"(key, default=None)",same type as items contained in object,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DataFrame.get.html
DataFrame.,to_parquet,"(path=None, engine='auto', compression='snappy', index=None, partition_cols=None, storage_options=None, **kwargs)",bytes if no path argument is provided else None,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DataFrame.to_parquet.html
Series.,iat,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.iat.html
pandas.tseries.offsets.,BDay,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.BDay.html
Series.,iat,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.iat.html
DataFrameGroupBy.,last,"(numeric_only=False, min_count=- 1)",Series or DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.core.groupby.DataFrameGroupBy.last.html
Timestamp.,year,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Timestamp.year.html
DataFrameGroupBy.,last,"(numeric_only=False, min_count=- 1)",Series or DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.core.groupby.DataFrameGroupBy.last.html
pandas.,read_orc,"(path, columns=None, dtype_backend=_NoDefault.no_default, **kwargs)",DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.read_orc.html
Timestamp.,year,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Timestamp.year.html
DataFrame.,to_parquet,"(path=None, engine='auto', compression='snappy', index=None, partition_cols=None, storage_options=None, **kwargs)",bytes if no path argument is provided else None,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DataFrame.to_parquet.html
Index.,is_interval,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Index.is_interval.html
Index.,is_integer,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Index.is_integer.html
DataFrame.,isin,(values),DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DataFrame.isin.html
DataFrame.,isin,(values),DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DataFrame.isin.html
DataFrameGroupBy.,max,"(numeric_only=False, min_count=- 1, engine=None, engine_kwargs=None)",Series or DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.core.groupby.DataFrameGroupBy.max.html
BusinessDay.,freqstr,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.BusinessDay.freqstr.html
Timestamp.,as_unit,(),Timestamp,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Timestamp.as_unit.html
DataFrameGroupBy.,max,"(numeric_only=False, min_count=- 1, engine=None, engine_kwargs=None)",Series or DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.core.groupby.DataFrameGroupBy.max.html
Series.,loc,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.loc.html
DataFrame.,to_orc,"(path=None, *, engine='pyarrow', index=None, engine_kwargs=None)",bytes if no path argument is provided else None,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DataFrame.to_orc.html
pandas.,read_orc,"(path, columns=None, dtype_backend=_NoDefault.no_default, **kwargs)",DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.read_orc.html
Series.,loc,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.loc.html
BusinessDay.,freqstr,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.BusinessDay.freqstr.html
DataFrameGroupBy.,mean,"(numeric_only=False, engine='cython', engine_kwargs=None)",pandas.Series or pandas.DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.core.groupby.DataFrameGroupBy.mean.html
Timestamp.,as_unit,(),Timestamp,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Timestamp.as_unit.html
Index.,is_interval,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Index.is_interval.html
Index.,is_numeric,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Index.is_numeric.html
DataFrame.,where,"(cond, other=_NoDefault.no_default, *, inplace=False, axis=None, level=None)",Same type as caller or None if inplace=True.,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DataFrame.where.html
DataFrame.,where,"(cond, other=_NoDefault.no_default, *, inplace=False, axis=None, level=None)",Same type as caller or None if inplace=True.,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DataFrame.where.html
pandas.,read_sas,"(filepath_or_buffer, *, format=None, index=None, encoding=None, chunksize=None, iterator=False, compression='infer')","DataFrame if iterator=False and chunksize=None, else SAS7BDATReader",https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.read_sas.html
DataFrameGroupBy.,mean,"(numeric_only=False, engine='cython', engine_kwargs=None)",pandas.Series or pandas.DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.core.groupby.DataFrameGroupBy.mean.html
Timestamp.,astimezone,(tz),convertedTimestamp,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Timestamp.astimezone.html
DataFrame.,to_orc,"(path=None, *, engine='pyarrow', index=None, engine_kwargs=None)",bytes if no path argument is provided else None,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DataFrame.to_orc.html
DataFrameGroupBy.,median,(numeric_only=False),Series or DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.core.groupby.DataFrameGroupBy.median.html
Series.,iloc,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.iloc.html
Timestamp.,astimezone,(tz),convertedTimestamp,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Timestamp.astimezone.html
BusinessDay.,kwds,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.BusinessDay.kwds.html
Index.,is_numeric,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Index.is_numeric.html
Index.,is_object,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Index.is_object.html
Series.,iloc,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.iloc.html
pandas.,read_spss,"(path, usecols=None, convert_categoricals=True, dtype_backend=_NoDefault.no_default)",DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.read_spss.html
DataFrameGroupBy.,median,(numeric_only=False),Series or DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.core.groupby.DataFrameGroupBy.median.html
DataFrame.,mask,"(cond, other=_NoDefault.no_default, *, inplace=False, axis=None, level=None)",Same type as caller or None if inplace=True.,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DataFrame.mask.html
DataFrame.,mask,"(cond, other=_NoDefault.no_default, *, inplace=False, axis=None, level=None)",Same type as caller or None if inplace=True.,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DataFrame.mask.html
BusinessDay.,kwds,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.BusinessDay.kwds.html
pandas.,read_sas,"(filepath_or_buffer, *, format=None, index=None, encoding=None, chunksize=None, iterator=False, compression='infer')","DataFrame if iterator=False and chunksize=None, else SAS7BDATReader",https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.read_sas.html
DataFrameGroupBy.,min,"(numeric_only=False, min_count=- 1, engine=None, engine_kwargs=None)",Series or DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.core.groupby.DataFrameGroupBy.min.html
Timestamp.,ceil,"(freq, ambiguous='raise', nonexistent='raise')",,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Timestamp.ceil.html
pandas.,read_sql_table,"(table_name, con, schema=None, index_col=None, coerce_float=True, parse_dates=None, columns=None, chunksize=None, dtype_backend=_NoDefault.no_default)",DataFrame or Iterator[DataFrame],https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.read_sql_table.html
DataFrameGroupBy.,min,"(numeric_only=False, min_count=- 1, engine=None, engine_kwargs=None)",Series or DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.core.groupby.DataFrameGroupBy.min.html
Timestamp.,ceil,"(freq, ambiguous='raise', nonexistent='raise')",,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Timestamp.ceil.html
Index.,is_object,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Index.is_object.html
Index.,min,"(axis=None, skipna=True, *args, **kwargs)",scalar,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Index.min.html
Series.,__iter__,(),iterator,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.__iter__.html
pandas.,read_spss,"(path, usecols=None, convert_categoricals=True, dtype_backend=_NoDefault.no_default)",DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.read_spss.html
DataFrame.,query,"(expr, *, inplace=False, **kwargs)",DataFrame or None,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DataFrame.query.html
DataFrame.,query,"(expr, *, inplace=False, **kwargs)",DataFrame or None,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DataFrame.query.html
Series.,__iter__,(),iterator,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.__iter__.html
DataFrameGroupBy.,ngroup,(ascending=True),Series,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.core.groupby.DataFrameGroupBy.ngroup.html
BusinessDay.,name,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.BusinessDay.name.html
Timestamp.,combine,"(date, time)",,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Timestamp.combine.html
BusinessDay.,name,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.BusinessDay.name.html
pandas.,read_sql_query,"(sql, con, index_col=None, coerce_float=True, params=None, parse_dates=None, chunksize=None, dtype=None, dtype_backend=_NoDefault.no_default)",DataFrame or Iterator[DataFrame],https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.read_sql_query.html
DataFrameGroupBy.,ngroup,(ascending=True),Series,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.core.groupby.DataFrameGroupBy.ngroup.html
pandas.,read_sql_table,"(table_name, con, schema=None, index_col=None, coerce_float=True, parse_dates=None, columns=None, chunksize=None, dtype_backend=_NoDefault.no_default)",DataFrame or Iterator[DataFrame],https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.read_sql_table.html
Timestamp.,combine,"(date, time)",,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Timestamp.combine.html
Series.,items,(),iterable,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.items.html
Index.,min,"(axis=None, skipna=True, *args, **kwargs)",scalar,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Index.min.html
Index.,max,"(axis=None, skipna=True, *args, **kwargs)",scalar,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Index.max.html
DataFrameGroupBy.,nth,,Series or DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.core.groupby.DataFrameGroupBy.nth.html
DataFrame.,__add__,(other),DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DataFrame.__add__.html
DataFrame.,__add__,(other),DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DataFrame.__add__.html
Series.,items,(),iterable,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.items.html
pandas.,read_sql,"(sql, con, index_col=None, coerce_float=True, params=None, parse_dates=None, columns=None, chunksize=None, dtype_backend=_NoDefault.no_default, dtype=None)",DataFrame or Iterator[DataFrame],https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.read_sql.html
Timestamp.,ctime,(),,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Timestamp.ctime.html
DataFrameGroupBy.,nth,,Series or DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.core.groupby.DataFrameGroupBy.nth.html
pandas.,read_sql_query,"(sql, con, index_col=None, coerce_float=True, params=None, parse_dates=None, chunksize=None, dtype=None, dtype_backend=_NoDefault.no_default)",DataFrame or Iterator[DataFrame],https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.read_sql_query.html
BusinessDay.,nanos,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.BusinessDay.nanos.html
Timestamp.,ctime,(),,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Timestamp.ctime.html
DataFrameGroupBy.,nunique,(dropna=True),nunique: DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.core.groupby.DataFrameGroupBy.nunique.html
BusinessDay.,nanos,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.BusinessDay.nanos.html
Series.,keys,(),Index,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.keys.html
Index.,max,"(axis=None, skipna=True, *args, **kwargs)",scalar,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Index.max.html
Index.,reindex,"(target, method=None, level=None, limit=None, tolerance=None)",new_indexpd.Index,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Index.reindex.html
DataFrame.,add,"(other, axis='columns', level=None, fill_value=None)",DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DataFrame.add.html
Series.,keys,(),Index,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.keys.html
Timestamp.,date,(),,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Timestamp.date.html
pandas.,read_sql,"(sql, con, index_col=None, coerce_float=True, params=None, parse_dates=None, columns=None, chunksize=None, dtype_backend=_NoDefault.no_default, dtype=None)",DataFrame or Iterator[DataFrame],https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.read_sql.html
DataFrameGroupBy.,nunique,(dropna=True),nunique: DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.core.groupby.DataFrameGroupBy.nunique.html
DataFrame.,to_sql,"(name, con, schema=None, if_exists='fail', index=True, index_label=None, chunksize=None, dtype=None, method=None)",None or int,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DataFrame.to_sql.html
DataFrame.,add,"(other, axis='columns', level=None, fill_value=None)",DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DataFrame.add.html
Timestamp.,date,(),,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Timestamp.date.html
DataFrameGroupBy.,ohlc,(),DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.core.groupby.DataFrameGroupBy.ohlc.html
BusinessDay.,normalize,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.BusinessDay.normalize.html
Index.,reindex,"(target, method=None, level=None, limit=None, tolerance=None)",new_indexpd.Index,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Index.reindex.html
Index.,rename,"(name, inplace=False)",Index or None,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Index.rename.html
Series.,pop,(item),Value that is popped from series.,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.pop.html
Series.,pop,(item),Value that is popped from series.,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.pop.html
DataFrameGroupBy.,ohlc,(),DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.core.groupby.DataFrameGroupBy.ohlc.html
Timestamp.,day_name,(),str,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Timestamp.day_name.html
pandas.,read_gbq,"(query, project_id=None, index_col=None, col_order=None, reauth=False, auth_local_webserver=True, dialect=None, location=None, configuration=None, credentials=None, use_bqstorage_api=None, max_results=None, progress_bar_type=None)",df: DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.read_gbq.html
DataFrameGroupBy.,pct_change,"(periods=1, fill_method='ffill', limit=None, freq=None, axis=0)",Series or DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.core.groupby.DataFrameGroupBy.pct_change.html
Timestamp.,day_name,(),str,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Timestamp.day_name.html
DataFrame.,to_sql,"(name, con, schema=None, if_exists='fail', index=True, index_label=None, chunksize=None, dtype=None, method=None)",None or int,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DataFrame.to_sql.html
DataFrame.,sub,"(other, axis='columns', level=None, fill_value=None)",DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DataFrame.sub.html
DataFrame.,sub,"(other, axis='columns', level=None, fill_value=None)",DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DataFrame.sub.html
BusinessDay.,normalize,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.BusinessDay.normalize.html
Index.,repeat,"(repeats, axis=None)",Index,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Index.repeat.html
Series.,item,(),,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.item.html
DataFrameGroupBy.,pct_change,"(periods=1, fill_method='ffill', limit=None, freq=None, axis=0)",Series or DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.core.groupby.DataFrameGroupBy.pct_change.html
pandas.,read_stata,"(filepath_or_buffer, *, convert_dates=True, convert_categoricals=True, index_col=None, convert_missing=False, preserve_dtypes=True, columns=None, order_categoricals=True, chunksize=None, iterator=False, compression='infer', storage_options=None)",DataFrame or StataReader,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.read_stata.html
DataFrameGroupBy.,prod,"(numeric_only=False, min_count=0)",Series or DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.core.groupby.DataFrameGroupBy.prod.html
Index.,rename,"(name, inplace=False)",Index or None,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Index.rename.html
Timestamp.,dst,(),,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Timestamp.dst.html
pandas.,read_gbq,"(query, project_id=None, index_col=None, col_order=None, reauth=False, auth_local_webserver=True, dialect=None, location=None, configuration=None, credentials=None, use_bqstorage_api=None, max_results=None, progress_bar_type=None)",df: DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.read_gbq.html
BusinessDay.,rule_code,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.BusinessDay.rule_code.html
Series.,item,(),,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.item.html
Timestamp.,dst,(),,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Timestamp.dst.html
DataFrame.,mul,"(other, axis='columns', level=None, fill_value=None)",DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DataFrame.mul.html
DataFrameGroupBy.,prod,"(numeric_only=False, min_count=0)",Series or DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.core.groupby.DataFrameGroupBy.prod.html
DataFrame.,mul,"(other, axis='columns', level=None, fill_value=None)",DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DataFrame.mul.html
DataFrameGroupBy.,quantile,"(q=0.5, interpolation='linear', numeric_only=False)",Series or DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.core.groupby.DataFrameGroupBy.quantile.html
Index.,where,"(cond, other=None)",pandas.Index,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Index.where.html
DataFrame.,to_stata,"(path, *, convert_dates=None, write_index=True, byteorder=None, time_stamp=None, data_label=None, variable_labels=None, version=114, convert_strl=None, compression='infer', storage_options=None, value_labels=None)",,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DataFrame.to_stata.html
Index.,repeat,"(repeats, axis=None)",Index,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Index.repeat.html
Series.,xs,"(key, axis=0, level=None, drop_level=True)",Series or DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.xs.html
pandas.,read_stata,"(filepath_or_buffer, *, convert_dates=True, convert_categoricals=True, index_col=None, convert_missing=False, preserve_dtypes=True, columns=None, order_categoricals=True, chunksize=None, iterator=False, compression='infer', storage_options=None)",DataFrame or StataReader,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.read_stata.html
Timestamp.,floor,"(freq, ambiguous='raise', nonexistent='raise')",,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Timestamp.floor.html
BusinessDay.,rule_code,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.BusinessDay.rule_code.html
Timestamp.,floor,"(freq, ambiguous='raise', nonexistent='raise')",,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Timestamp.floor.html
DataFrame.,div,"(other, axis='columns', level=None, fill_value=None)",DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DataFrame.div.html
Series.,xs,"(key, axis=0, level=None, drop_level=True)",Series or DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.xs.html
DataFrameGroupBy.,quantile,"(q=0.5, interpolation='linear', numeric_only=False)",Series or DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.core.groupby.DataFrameGroupBy.quantile.html
BusinessDay.,n,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.BusinessDay.n.html
StataReader.,data_label,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.io.stata.StataReader.data_label.html
DataFrameGroupBy.,rank,"(method='average', ascending=True, na_option='keep', pct=False, axis=0)",DataFrame with ranking of values within each group,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.core.groupby.DataFrameGroupBy.rank.html
Index.,take,"(indices, axis=0, allow_fill=True, fill_value=None, **kwargs)",Index,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Index.take.html
DataFrame.,div,"(other, axis='columns', level=None, fill_value=None)",DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DataFrame.div.html
Index.,where,"(cond, other=None)",pandas.Index,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Index.where.html
Timestamp.,fromordinal,"(ordinal, tz=None)",,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Timestamp.fromordinal.html
DataFrame.,to_stata,"(path, *, convert_dates=None, write_index=True, byteorder=None, time_stamp=None, data_label=None, variable_labels=None, version=114, convert_strl=None, compression='infer', storage_options=None, value_labels=None)",,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DataFrame.to_stata.html
Timestamp.,fromordinal,"(ordinal, tz=None)",,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Timestamp.fromordinal.html
Series.,add,"(other, level=None, fill_value=None, axis=0)",Series,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.add.html
StataReader.,value_labels,(),dict,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.io.stata.StataReader.value_labels.html
DataFrameGroupBy.,rank,"(method='average', ascending=True, na_option='keep', pct=False, axis=0)",DataFrame with ranking of values within each group,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.core.groupby.DataFrameGroupBy.rank.html
Series.,add,"(other, level=None, fill_value=None, axis=0)",Series,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.add.html
BusinessDay.,n,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.BusinessDay.n.html
DataFrame.,truediv,"(other, axis='columns', level=None, fill_value=None)",DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DataFrame.truediv.html
DataFrameGroupBy.,resample,"(rule, *args, **kwargs)",Grouper,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.core.groupby.DataFrameGroupBy.resample.html
Index.,putmask,"(mask, value)",Index,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Index.putmask.html
DataFrame.,truediv,"(other, axis='columns', level=None, fill_value=None)",DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DataFrame.truediv.html
StataReader.,data_label,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.io.stata.StataReader.data_label.html
Index.,take,"(indices, axis=0, allow_fill=True, fill_value=None, **kwargs)",Index,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Index.take.html
Timestamp.,fromtimestamp,(ts),,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Timestamp.fromtimestamp.html
Timestamp.,fromtimestamp,(ts),,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Timestamp.fromtimestamp.html
StataReader.,variable_labels,(),dict,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.io.stata.StataReader.variable_labels.html
DataFrameGroupBy.,resample,"(rule, *args, **kwargs)",Grouper,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.core.groupby.DataFrameGroupBy.resample.html
