方法名称1,方法名称2,方法参数,返回值类型,链接
polynomial.polynomial.,polydomain,"([-1,  1])",None,https://numpy.org/devdocs/reference/generated/numpy.polynomial.polynomial.polydomain.html
char.,splitlines,"(a, keepends=None)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.char.splitlines.html
numpy.,asanyarray,"(a, dtype=None, order=None, *, like=None)",ndarray or an ndarray subclass,https://numpy.org/devdocs/reference/generated/numpy.asanyarray.html
ma.,masked_all_like,(arr),MaskedArray,https://numpy.org/devdocs/reference/generated/numpy.ma.masked_all_like.html
numpy.,get_include,(),None,https://numpy.org/devdocs/reference/generated/numpy.get_include.html
polynomial.polynomial.,polyzero,([0]),None,https://numpy.org/devdocs/reference/generated/numpy.polynomial.polynomial.polyzero.html
numpy.,logical_and,"(x1, x2, /, out=None, *, where=True, casting='same_kind', order='K', dtype=None, subok=True[, signature])",ndarray or bool,https://numpy.org/devdocs/reference/generated/numpy.logical_and.html
linalg.,eig,(a),"(…, M) array",https://numpy.org/devdocs/reference/generated/numpy.linalg.eig.html
numpy.,sort,"(a, axis=-1, kind=None, order=None)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.sort.html
numpy.,unwrap,"(p, discont=None, axis=-1, *, period=6.283185307179586)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.unwrap.html
char.,strip,"(a, chars=None)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.char.strip.html
polynomial.polynomial.,polyone,([1]),None,https://numpy.org/devdocs/reference/generated/numpy.polynomial.polynomial.polyone.html
numpy.,set_string_function,"(f, repr=True)",None,https://numpy.org/devdocs/reference/generated/numpy.set_string_function.html
numpy.,asmatrix,"(data, dtype=None)",matrix,https://numpy.org/devdocs/reference/generated/numpy.asmatrix.html
numpy.,show_config,(mode='stdout'),None,https://numpy.org/devdocs/reference/generated/numpy.show_config.html
numpy.,fromiter,"(iter, dtype, count=-1, *, like=None)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.fromiter.html
polynomial.polynomial.,polyx,"([0, 1])",None,https://numpy.org/devdocs/reference/generated/numpy.polynomial.polynomial.polyx.html
polynomial.polynomial.,polyadd,"(c1, c2)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.polynomial.polynomial.polyadd.html
numpy.,fromstring,"(string, dtype=float, count=-1, *, sep, like=None)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.fromstring.html
numpy.,lexsort,"(keys, axis=-1)","(N,) ndarray of ints",https://numpy.org/devdocs/reference/generated/numpy.lexsort.html
numpy.,logical_or,"(x1, x2, /, out=None, *, where=True, casting='same_kind', order='K', dtype=None, subok=True[, signature])",ndarray or bool,https://numpy.org/devdocs/reference/generated/numpy.logical_or.html
numpy.,printoptions,"(*args, **kwargs)",None,https://numpy.org/devdocs/reference/generated/numpy.printoptions.html
ma.,ones,"(shape, dtype=None, order='C')",MaskedArray,https://numpy.org/devdocs/reference/generated/numpy.ma.ones.html
char.,swapcase,(a),"ndarray, {str, unicode}",https://numpy.org/devdocs/reference/generated/numpy.char.swapcase.html
numpy.,deg2rad,"(x, /, out=None, *, where=True, casting='same_kind', order='K', dtype=None, subok=True[, signature])",ndarray,https://numpy.org/devdocs/reference/generated/numpy.deg2rad.html
numpy.,show_runtime,(),None,https://numpy.org/devdocs/reference/generated/numpy.show_runtime.html
polynomial.polynomial.,polysub,"(c1, c2)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.polynomial.polynomial.polysub.html
linalg.,eigh,"(a, UPLO='L')","(…, M) ndarray",https://numpy.org/devdocs/reference/generated/numpy.linalg.eigh.html
numpy.,asfarray,"(a, dtype=<class 'numpy.double'>)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.asfarray.html
numpy.,loadtxt,"(fname, dtype=<class 'float'>, comments='#', delimiter=None, converters=None, skiprows=0, usecols=None, unpack=False, ndmin=0, encoding='bytes', max_rows=None, *, quotechar=None, like=None)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.loadtxt.html
numpy.,argsort,"(a, axis=-1, kind=None, order=None)","ndarray, int",https://numpy.org/devdocs/reference/generated/numpy.argsort.html
polynomial.polynomial.,polymulx,(c),ndarray,https://numpy.org/devdocs/reference/generated/numpy.polynomial.polynomial.polymulx.html
numpy.,logical_not,"(x, /, out=None, *, where=True, casting='same_kind', order='K', dtype=None, subok=True[, signature])",bool or ndarray of bool,https://numpy.org/devdocs/reference/generated/numpy.logical_not.html
char.,title,(a),ndarray,https://numpy.org/devdocs/reference/generated/numpy.char.title.html
ma.,ones_like,,MaskedArray,https://numpy.org/devdocs/reference/generated/numpy.ma.ones_like.html
polynomial.polynomial.,polymul,"(c1, c2)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.polynomial.polynomial.polymul.html
numpy.,asfortranarray,"(a, dtype=None, *, like=None)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.asfortranarray.html
numpy.,rad2deg,"(x, /, out=None, *, where=True, casting='same_kind', order='K', dtype=None, subok=True[, signature])",ndarray,https://numpy.org/devdocs/reference/generated/numpy.rad2deg.html
linalg.,eigvals,(a),"(…, M,) ndarray",https://numpy.org/devdocs/reference/generated/numpy.linalg.eigvals.html
numpy.,deprecate,"(*args, **kwargs)",function,https://numpy.org/devdocs/reference/generated/numpy.deprecate.html
core.records.,array,"(obj, dtype=None, shape=None, offset=0, strides=None, formats=None, names=None, titles=None, aligned=False, byteorder=None, copy=True)",None,https://numpy.org/devdocs/reference/generated/numpy.core.records.array.html
polynomial.polynomial.,polydiv,"(c1, c2)",ndarrays,https://numpy.org/devdocs/reference/generated/numpy.polynomial.polynomial.polydiv.html
numpy.,binary_repr,"(num, width=None)",str,https://numpy.org/devdocs/reference/generated/numpy.binary_repr.html
char.,translate,"(a, table, deletechars=None)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.char.translate.html
numpy.,sort_complex,(a),complex ndarray,https://numpy.org/devdocs/reference/generated/numpy.sort_complex.html
numpy.,ascontiguousarray,"(a, dtype=None, *, like=None)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.ascontiguousarray.html
linalg.,eigvalsh,"(a, UPLO='L')","(…, M,) ndarray",https://numpy.org/devdocs/reference/generated/numpy.linalg.eigvalsh.html
numpy.,logical_xor,"(x1, x2, /, out=None, *, where=True, casting='same_kind', order='K', dtype=None, subok=True[, signature])",bool or ndarray of bool,https://numpy.org/devdocs/reference/generated/numpy.logical_xor.html
core.records.,fromarrays,"(arrayList, dtype=None, shape=None, formats=None, names=None, titles=None, aligned=False, byteorder=None)",None,https://numpy.org/devdocs/reference/generated/numpy.core.records.fromarrays.html
numpy.,deprecate_with_doc,(msg),object,https://numpy.org/devdocs/reference/generated/numpy.deprecate_with_doc.html
numpy.,base_repr,"(number, base=2, padding=0)",str,https://numpy.org/devdocs/reference/generated/numpy.base_repr.html
ma.,zeros,"(shape, dtype=float, order='C', *, like=None)",MaskedArray,https://numpy.org/devdocs/reference/generated/numpy.ma.zeros.html
char.,upper,(a),"ndarray, {str, unicode}",https://numpy.org/devdocs/reference/generated/numpy.char.upper.html
numpy.,partition,"(a, kth, axis=-1, kind='introselect', order=None)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.partition.html
polynomial.polynomial.,polypow,"(c, pow, maxpower=None)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.polynomial.polynomial.polypow.html
numpy.,asarray_chkfinite,"(a, dtype=None, order=None)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.asarray_chkfinite.html
numpy.,allclose,"(a, b, rtol=1e-05, atol=1e-08, equal_nan=False)",bool,https://numpy.org/devdocs/reference/generated/numpy.allclose.html
linalg.,norm,"(x, ord=None, axis=None, keepdims=False)",float or ndarray,https://numpy.org/devdocs/reference/generated/numpy.linalg.norm.html
numpy.,broadcast_shapes,(*args),None,https://numpy.org/devdocs/reference/generated/numpy.broadcast_shapes.html
polynomial.polynomial.,polyval,"(x, c, tensor=True)","ndarray, compatible object",https://numpy.org/devdocs/reference/generated/numpy.polynomial.polynomial.polyval.html
ma.,zeros_like,,MaskedArray,https://numpy.org/devdocs/reference/generated/numpy.ma.zeros_like.html
numpy.,sinh,"(x, /, out=None, *, where=True, casting='same_kind', order='K', dtype=None, subok=True[, signature])",ndarray,https://numpy.org/devdocs/reference/generated/numpy.sinh.html
core.records.,fromrecords,"(recList, dtype=None, shape=None, formats=None, names=None, titles=None, aligned=False, byteorder=None)",None,https://numpy.org/devdocs/reference/generated/numpy.core.records.fromrecords.html
numpy.,argpartition,"(a, kth, axis=-1, kind='introselect', order=None)","ndarray, int",https://numpy.org/devdocs/reference/generated/numpy.argpartition.html
numpy.,require,"(a, dtype=None, requirements=None, *, like=None)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.require.html
polynomial.polynomial.,polyval2d,"(x, y, c)","ndarray, compatible object",https://numpy.org/devdocs/reference/generated/numpy.polynomial.polynomial.polyval2d.html
char.,zfill,"(a, width)","ndarray, {str, unicode}",https://numpy.org/devdocs/reference/generated/numpy.char.zfill.html
numpy.,who,(vardict=None),None,https://numpy.org/devdocs/reference/generated/numpy.who.html
linalg.,cond,"(x, p=None)","{float, inf}",https://numpy.org/devdocs/reference/generated/numpy.linalg.cond.html
ma.,all,"(self, axis=None, out=None, keepdims=<no value>)",None,https://numpy.org/devdocs/reference/generated/numpy.ma.all.html
numpy.,cosh,"(x, /, out=None, *, where=True, casting='same_kind', order='K', dtype=None, subok=True[, signature])",ndarray or scalar,https://numpy.org/devdocs/reference/generated/numpy.cosh.html
polynomial.polynomial.,polyval3d,"(x, y, z, c)","ndarray, compatible object",https://numpy.org/devdocs/reference/generated/numpy.polynomial.polynomial.polyval3d.html
numpy.,isclose,"(a, b, rtol=1e-05, atol=1e-08, equal_nan=False)",array_like,https://numpy.org/devdocs/reference/generated/numpy.isclose.html
numpy.,argmax,"(a, axis=None, out=None, *, keepdims=<no value>)",ndarray of ints,https://numpy.org/devdocs/reference/generated/numpy.argmax.html
numpy.,concatenate,"((a1, a2, ...), axis=0, out=None, dtype=None, casting=""same_kind"")",ndarray,https://numpy.org/devdocs/reference/generated/numpy.concatenate.html
numpy.,disp,"(mesg, device=None, linefeed=True)",None,https://numpy.org/devdocs/reference/generated/numpy.disp.html
ma.,any,"(self, axis=None, out=None, keepdims=<no value>)",None,https://numpy.org/devdocs/reference/generated/numpy.ma.any.html
core.records.,fromstring,"(datastring, dtype=None, shape=None, offset=0, formats=None, names=None, titles=None, aligned=False, byteorder=None)",None,https://numpy.org/devdocs/reference/generated/numpy.core.records.fromstring.html
numpy.,stack,"(arrays, axis=0, out=None, *, dtype=None, casting='same_kind')",ndarray,https://numpy.org/devdocs/reference/generated/numpy.stack.html
numpy.,tanh,"(x, /, out=None, *, where=True, casting='same_kind', order='K', dtype=None, subok=True[, signature])",ndarray,https://numpy.org/devdocs/reference/generated/numpy.tanh.html
linalg.,det,(a),(…) array_like,https://numpy.org/devdocs/reference/generated/numpy.linalg.det.html
numpy.,nanargmax,"(a, axis=None, out=None, *, keepdims=<no value>)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.nanargmax.html
numpy.,array_equal,"(a1, a2, equal_nan=False)",bool,https://numpy.org/devdocs/reference/generated/numpy.array_equal.html
char.,equal,"(x1, x2)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.char.equal.html
polynomial.polynomial.,polygrid2d,"(x, y, c)","ndarray, compatible object",https://numpy.org/devdocs/reference/generated/numpy.polynomial.polynomial.polygrid2d.html
ma.,count,"(self, axis=None, keepdims=<no value>)",ndarray or scalar,https://numpy.org/devdocs/reference/generated/numpy.ma.count.html
exceptions.,ComplexWarning,,None,https://numpy.org/devdocs/reference/generated/numpy.exceptions.ComplexWarning.html
core.records.,fromfile,"(fd, dtype=None, shape=None, offset=0, formats=None, names=None, titles=None, aligned=False, byteorder=None)",None,https://numpy.org/devdocs/reference/generated/numpy.core.records.fromfile.html
numpy.,block,(arrays),None,https://numpy.org/devdocs/reference/generated/numpy.block.html
numpy.,ptp,"(a, axis=None, out=None, keepdims=<no value>)",ndarray or scalar,https://numpy.org/devdocs/reference/generated/numpy.ptp.html
linalg.,matrix_rank,"(A, tol=None, hermitian=False)",(…) array_like,https://numpy.org/devdocs/reference/generated/numpy.linalg.matrix_rank.html
polynomial.polynomial.,polygrid3d,"(x, y, z, c)","ndarray, compatible object",https://numpy.org/devdocs/reference/generated/numpy.polynomial.polynomial.polygrid3d.html
numpy.,arcsinh,"(x, /, out=None, *, where=True, casting='same_kind', order='K', dtype=None, subok=True[, signature])",ndarray or scalar,https://numpy.org/devdocs/reference/generated/numpy.arcsinh.html
numpy.,array_equiv,"(a1, a2)",bool,https://numpy.org/devdocs/reference/generated/numpy.array_equiv.html
core.defchararray.,array,"(obj, itemsize=None, copy=True, unicode=None, order=None)",None,https://numpy.org/devdocs/reference/generated/numpy.core.defchararray.array.html
exceptions.,VisibleDeprecationWarning,,None,https://numpy.org/devdocs/reference/generated/numpy.exceptions.VisibleDeprecationWarning.html
numpy.,argmin,"(a, axis=None, out=None, *, keepdims=<no value>)",ndarray of ints,https://numpy.org/devdocs/reference/generated/numpy.argmin.html
numpy.,vstack,"(tup, *, dtype=None, casting='same_kind')",ndarray,https://numpy.org/devdocs/reference/generated/numpy.vstack.html
ma.,count_masked,"(arr, axis=None)","int, ndarray",https://numpy.org/devdocs/reference/generated/numpy.ma.count_masked.html
numpy.,percentile,"(a, q, axis=None, out=None, overwrite_input=False, method='linear', keepdims=False, *, interpolation=None)",scalar or ndarray,https://numpy.org/devdocs/reference/generated/numpy.percentile.html
polynomial.polynomial.,polyder,"(c, m=1, scl=1, axis=0)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.polynomial.polynomial.polyder.html
linalg.,slogdet,(a),(…) array_like,https://numpy.org/devdocs/reference/generated/numpy.linalg.slogdet.html
numpy.,nanargmin,"(a, axis=None, out=None, *, keepdims=<no value>)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.nanargmin.html
numpy.,hstack,"(tup, *, dtype=None, casting='same_kind')",ndarray,https://numpy.org/devdocs/reference/generated/numpy.hstack.html
polynomial.polynomial.,polyint,"(c, m=1, k=[], lbnd=0, scl=1, axis=0)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.polynomial.polynomial.polyint.html
numpy.,arccosh,"(x, /, out=None, *, where=True, casting='same_kind', order='K', dtype=None, subok=True[, signature])",ndarray,https://numpy.org/devdocs/reference/generated/numpy.arccosh.html
numpy.,greater,"(x1, x2, /, out=None, *, where=True, casting='same_kind', order='K', dtype=None, subok=True[, signature])",ndarray or scalar,https://numpy.org/devdocs/reference/generated/numpy.greater.html
exceptions.,AxisError,"(axis, ndim=None, msg_prefix=None)",None,https://numpy.org/devdocs/reference/generated/numpy.exceptions.AxisError.html
char.,not_equal,"(x1, x2)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.char.not_equal.html
ma.,getmask,(a),None,https://numpy.org/devdocs/reference/generated/numpy.ma.getmask.html
core.defchararray.,asarray,"(obj, itemsize=None, unicode=None, order=None)",None,https://numpy.org/devdocs/reference/generated/numpy.core.defchararray.asarray.html
numpy.,nanpercentile,"(a, q, axis=None, out=None, overwrite_input=False, method='linear', keepdims=<no value>, *, interpolation=None)",scalar or ndarray,https://numpy.org/devdocs/reference/generated/numpy.nanpercentile.html
polynomial.polynomial.,polyfromroots,(roots),ndarray,https://numpy.org/devdocs/reference/generated/numpy.polynomial.polynomial.polyfromroots.html
numpy.,dstack,(tup),ndarray,https://numpy.org/devdocs/reference/generated/numpy.dstack.html
numpy.,argwhere,(a),"(N, a.ndim) ndarray",https://numpy.org/devdocs/reference/generated/numpy.argwhere.html
numpy.,arctanh,"(x, /, out=None, *, where=True, casting='same_kind', order='K', dtype=None, subok=True[, signature])",ndarray or scalar,https://numpy.org/devdocs/reference/generated/numpy.arctanh.html
numpy.,greater_equal,"(x1, x2, /, out=None, *, where=True, casting='same_kind', order='K', dtype=None, subok=True[, signature])",bool or ndarray of bool,https://numpy.org/devdocs/reference/generated/numpy.greater_equal.html
polynomial.polynomial.,polyroots,(c),ndarray,https://numpy.org/devdocs/reference/generated/numpy.polynomial.polynomial.polyroots.html
exceptions.,DTypePromotionError,,None,https://numpy.org/devdocs/reference/generated/numpy.exceptions.DTypePromotionError.html
numpy.,arange,"([start, ]stop, [step, ]dtype=None, *, like=None)",None,https://numpy.org/devdocs/reference/generated/numpy.arange.html
char.,greater_equal,"(x1, x2)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.char.greater_equal.html
numpy.,trace,"(a, offset=0, axis1=0, axis2=1, dtype=None, out=None)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.trace.html
ma.,getmaskarray,(arr),None,https://numpy.org/devdocs/reference/generated/numpy.ma.getmaskarray.html
polynomial.polynomial.,polyvalfromroots,"(x, r, tensor=True)","ndarray, compatible object",https://numpy.org/devdocs/reference/generated/numpy.polynomial.polynomial.polyvalfromroots.html
numpy.,round,"(a, decimals=0, out=None)",None,https://numpy.org/devdocs/reference/generated/numpy.round.html
numpy.,nonzero,(a),tuple,https://numpy.org/devdocs/reference/generated/numpy.nonzero.html
numpy.,less,"(x1, x2, /, out=None, *, where=True, casting='same_kind', order='K', dtype=None, subok=True[, signature])",ndarray or scalar,https://numpy.org/devdocs/reference/generated/numpy.less.html
numpy.,quantile,"(a, q, axis=None, out=None, overwrite_input=False, method='linear', keepdims=False, *, interpolation=None)",scalar or ndarray,https://numpy.org/devdocs/reference/generated/numpy.quantile.html
polynomial.polynomial.,polyvander,"(x, deg)",ndarray.,https://numpy.org/devdocs/reference/generated/numpy.polynomial.polynomial.polyvander.html
numpy.,column_stack,(tup),2-D array,https://numpy.org/devdocs/reference/generated/numpy.column_stack.html
ma.,getdata,"(a, subok=True)",None,https://numpy.org/devdocs/reference/generated/numpy.ma.getdata.html
numpy.,linspace,"(start, stop, num=50, endpoint=True, retstep=False, dtype=None, axis=0)",None,https://numpy.org/devdocs/reference/generated/numpy.linspace.html
linalg.,solve,"(a, b)","{(…, M,), (…, M, K)} ndarray",https://numpy.org/devdocs/reference/generated/numpy.linalg.solve.html
char.,less_equal,"(x1, x2)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.char.less_equal.html
polynomial.polynomial.,polyvander2d,"(x, y, deg)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.polynomial.polynomial.polyvander2d.html
exceptions.,TooHardError,,None,https://numpy.org/devdocs/reference/generated/numpy.exceptions.TooHardError.html
numpy.,less_equal,"(x1, x2, /, out=None, *, where=True, casting='same_kind', order='K', dtype=None, subok=True[, signature])",ndarray or scalar,https://numpy.org/devdocs/reference/generated/numpy.less_equal.html
numpy.,flatnonzero,(a),ndarray,https://numpy.org/devdocs/reference/generated/numpy.flatnonzero.html
numpy.,nanquantile,"(a, q, axis=None, out=None, overwrite_input=False, method='linear', keepdims=<no value>, *, interpolation=None)",scalar or ndarray,https://numpy.org/devdocs/reference/generated/numpy.nanquantile.html
numpy.,row_stack,"(tup, *, dtype=None, casting='same_kind')",ndarray,https://numpy.org/devdocs/reference/generated/numpy.row_stack.html
polynomial.polynomial.,polyvander3d,"(x, y, z, deg)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.polynomial.polynomial.polyvander3d.html
ma.,nonzero,(self),tuple,https://numpy.org/devdocs/reference/generated/numpy.ma.nonzero.html
numpy.,around,"(a, decimals=0, out=None)",None,https://numpy.org/devdocs/reference/generated/numpy.around.html
numpy.,logspace,"(start, stop, num=50, endpoint=True, base=10.0, dtype=None, axis=0)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.logspace.html
numpy.,where,"(condition, [x, y, ]/)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.where.html
numpy.,equal,"(x1, x2, /, out=None, *, where=True, casting='same_kind', order='K', dtype=None, subok=True[, signature])",ndarray or scalar,https://numpy.org/devdocs/reference/generated/numpy.equal.html
polynomial.polynomial.,polycompanion,(c),ndarray,https://numpy.org/devdocs/reference/generated/numpy.polynomial.polynomial.polycompanion.html
linalg.,tensorsolve,"(a, b, axes=None)","ndarray, shape Q",https://numpy.org/devdocs/reference/generated/numpy.linalg.tensorsolve.html
char.,greater,"(x1, x2)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.char.greater.html
numpy.,rint,"(x, /, out=None, *, where=True, casting='same_kind', order='K', dtype=None, subok=True[, signature])",ndarray or scalar,https://numpy.org/devdocs/reference/generated/numpy.rint.html
testing.overrides.,allows_array_function_override,(func),None,https://numpy.org/devdocs/reference/generated/numpy.testing.overrides.allows_array_function_override.html
numpy.,median,"(a, axis=None, out=None, overwrite_input=False, keepdims=False)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.median.html
ma.,shape,(obj),tuple of ints,https://numpy.org/devdocs/reference/generated/numpy.ma.shape.html
numpy.,searchsorted,"(a, v, side='left', sorter=None)",int or array of ints,https://numpy.org/devdocs/reference/generated/numpy.searchsorted.html
linalg.,lstsq,"(a, b, rcond='warn')","{(N,), (N, K)} ndarray",https://numpy.org/devdocs/reference/generated/numpy.linalg.lstsq.html
testing.,assert_allclose,"(actual, desired, rtol=1e-07, atol=0, equal_nan=True, err_msg='', verbose=True)",None,https://numpy.org/devdocs/reference/generated/numpy.testing.assert_allclose.html
char.,less,"(x1, x2)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.char.less.html
testing.overrides.,allows_array_ufunc_override,(func),None,https://numpy.org/devdocs/reference/generated/numpy.testing.overrides.allows_array_ufunc_override.html
polynomial.polynomial.,polyfit,"(x, y, deg, rcond=None, full=False, w=None)",None,https://numpy.org/devdocs/reference/generated/numpy.polynomial.polynomial.polyfit.html
numpy.,fix,"(x, out=None)",None,https://numpy.org/devdocs/reference/generated/numpy.fix.html
numpy.,average,"(a, axis=None, weights=None, returned=False, *, keepdims=<no value>)",array_type or double,https://numpy.org/devdocs/reference/generated/numpy.average.html
numpy.,extract,"(condition, arr)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.extract.html
ma.,size,"(obj, axis=None)",int,https://numpy.org/devdocs/reference/generated/numpy.ma.size.html
numpy.,not_equal,"(x1, x2, /, out=None, *, where=True, casting='same_kind', order='K', dtype=None, subok=True[, signature])",ndarray or scalar,https://numpy.org/devdocs/reference/generated/numpy.not_equal.html
polynomial.polynomial.,polytrim,"(c, tol=0)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.polynomial.polynomial.polytrim.html
linalg.,inv,(a),"(…, M, M) ndarray or matrix",https://numpy.org/devdocs/reference/generated/numpy.linalg.inv.html
testing.,assert_array_almost_equal_nulp,"(x, y, nulp=1)",None,https://numpy.org/devdocs/reference/generated/numpy.testing.assert_array_almost_equal_nulp.html
numpy.,split,"(ary, indices_or_sections, axis=0)",list of ndarrays,https://numpy.org/devdocs/reference/generated/numpy.split.html
char.,compare_chararrays,"(a1, a2, cmp, rstrip)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.char.compare_chararrays.html
numpy.,geomspace,"(start, stop, num=50, endpoint=True, dtype=None, axis=0)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.geomspace.html
polynomial.polynomial.,polyline,"(off, scl)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.polynomial.polynomial.polyline.html
numpy.,floor,"(x, /, out=None, *, where=True, casting='same_kind', order='K', dtype=None, subok=True[, signature])",ndarray or scalar,https://numpy.org/devdocs/reference/generated/numpy.floor.html
testing.overrides.,get_overridable_numpy_ufuncs,(),None,https://numpy.org/devdocs/reference/generated/numpy.testing.overrides.get_overridable_numpy_ufuncs.html
numpy.,mean,"(a, axis=None, dtype=None, out=None, keepdims=<no value>, *, where=<no value>)","ndarray, see dtype parameter above",https://numpy.org/devdocs/reference/generated/numpy.mean.html
numpy.,count_nonzero,"(a, axis=None, *, keepdims=False)",int or array of int,https://numpy.org/devdocs/reference/generated/numpy.count_nonzero.html
linalg.,pinv,"(a, rcond=1e-15, hermitian=False)","(…, N, M) ndarray",https://numpy.org/devdocs/reference/generated/numpy.linalg.pinv.html
char.,count,"(a, sub, start=0, end=None)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.char.count.html
numpy.,array_split,"(ary, indices_or_sections, axis=0)",None,https://numpy.org/devdocs/reference/generated/numpy.array_split.html
ma.,is_masked,(x),bool,https://numpy.org/devdocs/reference/generated/numpy.ma.is_masked.html
numpy.,bartlett,(M),array,https://numpy.org/devdocs/reference/generated/numpy.bartlett.html
numpy.,meshgrid,"(*xi, copy=True, sparse=False, indexing='xy')",list of ndarrays,https://numpy.org/devdocs/reference/generated/numpy.meshgrid.html
numpy.,ceil,"(x, /, out=None, *, where=True, casting='same_kind', order='K', dtype=None, subok=True[, signature])",ndarray or scalar,https://numpy.org/devdocs/reference/generated/numpy.ceil.html
testing.overrides.,get_overridable_numpy_array_functions,(),None,https://numpy.org/devdocs/reference/generated/numpy.testing.overrides.get_overridable_numpy_array_functions.html
testing.,assert_array_max_ulp,"(a, b, maxulp=1, dtype=None)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.testing.assert_array_max_ulp.html
numpy.polynomial.chebyshev.,Chebyshev,"(coef, domain=None, window=None, symbol='x')",None,https://numpy.org/devdocs/reference/generated/numpy.polynomial.chebyshev.Chebyshev.html
numpy.,std,"(a, axis=None, dtype=None, out=None, ddof=0, keepdims=<no value>, *, where=<no value>, mean=<no value>)","ndarray, see dtype parameter above.",https://numpy.org/devdocs/reference/generated/numpy.std.html
linalg.,tensorinv,"(a, ind=2)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.linalg.tensorinv.html
ma.,is_mask,(m),bool,https://numpy.org/devdocs/reference/generated/numpy.ma.is_mask.html
numpy.,blackman,(M),ndarray,https://numpy.org/devdocs/reference/generated/numpy.blackman.html
numpy.,mgrid,,None,https://numpy.org/devdocs/reference/generated/numpy.mgrid.html
polynomial.chebyshev.,chebdomain,"([-1,  1])",None,https://numpy.org/devdocs/reference/generated/numpy.polynomial.chebyshev.chebdomain.html
numpy.,dsplit,"(ary, indices_or_sections)",None,https://numpy.org/devdocs/reference/generated/numpy.dsplit.html
numpy.,trunc,"(x, /, out=None, *, where=True, casting='same_kind', order='K', dtype=None, subok=True[, signature])",ndarray or scalar,https://numpy.org/devdocs/reference/generated/numpy.trunc.html
numpy.,var,"(a, axis=None, dtype=None, out=None, ddof=0, keepdims=<no value>, *, where=<no value>, mean=<no value>)","ndarray, see dtype parameter above",https://numpy.org/devdocs/reference/generated/numpy.var.html
polynomial.chebyshev.,chebzero,([0]),None,https://numpy.org/devdocs/reference/generated/numpy.polynomial.chebyshev.chebzero.html
ma.,isMaskedArray,(x),bool,https://numpy.org/devdocs/reference/generated/numpy.ma.isMaskedArray.html
numpy.,hamming,(M),ndarray,https://numpy.org/devdocs/reference/generated/numpy.hamming.html
numpy.,ogrid,,None,https://numpy.org/devdocs/reference/generated/numpy.ogrid.html
linalg.,LinAlgError,,None,https://numpy.org/devdocs/reference/generated/numpy.linalg.LinAlgError.html
char.,endswith,"(a, suffix, start=0, end=None)",ndarray,https://numpy.org/devdocs/reference/generated/numpy.char.endswith.html
polynomial.chebyshev.,chebone,([1]),None,https://numpy.org/devdocs/reference/generated/numpy.polynomial.chebyshev.chebone.html
testing.,assert_array_equal,"(x, y, err_msg='', verbose=True, *, strict=False)",None,https://numpy.org/devdocs/reference/generated/numpy.testing.assert_array_equal.html
numpy.,hsplit,"(ary, indices_or_sections)",None,https://numpy.org/devdocs/reference/generated/numpy.hsplit.html
polynomial.chebyshev.,chebx,"([0, 1])",None,https://numpy.org/devdocs/reference/generated/numpy.polynomial.chebyshev.chebx.html
numpy.,hanning,(M),"ndarray, shape(M,)",https://numpy.org/devdocs/reference/generated/numpy.hanning.html
